image_name,comment_number,comment
419965392.jpg,0,A man and two children of Asian descent sit outside by a giant basket .
419965392.jpg,1,Asian man and two children sit outside with large loose woven basket .
419965392.jpg,2,A man with a large basket and two children are sitting outside .
419965392.jpg,3,A mother and her two children sit down to rest .
419965392.jpg,4,An asian man and two children sitting outdoors .
509439572.jpg,0,A man and a woman are in a parking lot moving some seats .
509439572.jpg,1,Two people are carrying rows of white and teal seats .
509439572.jpg,2,People set up rows of chairs next to a storage box .
509439572.jpg,3,People setting up chairs outside in a parking lot .
509439572.jpg,4,3 guys setting up chairs from a container
289636441.jpg,0,There are a bunch of soccer players standing around the soccer field in the middle of a game .
289636441.jpg,1,There is a stadium full of people watching sporting event with male players .
289636441.jpg,2,A soccer game where everyone is standing around on the field .
289636441.jpg,3,The soccer teams are gathered on the field .
289636441.jpg,4,Two soccer teams are playing a game .
2922651812.jpg,0,A middle-aged woman wearing a white top is using her desktop computer while she has her laptop open next to her .
2922651812.jpg,1,A woman in an office looks at the screens of a desktop computer and a laptop .
2922651812.jpg,2,A woman is working on a desktop computer with a laptop nearby .
2922651812.jpg,3,One woman browsing the internet in the comfort of her home .
2922651812.jpg,4,Woman working on a PC in her bathrobe .
2460568004.jpg,0,Several people stand in a forest area while a man in a black shirt sits in the distance .
2460568004.jpg,1,Three people standing in a group at a park and one man reading at a park .
2460568004.jpg,2,Boys sitting on the ground writing .
2460568004.jpg,3,A few people in a public park .
2460568004.jpg,4,People sitting in a park .
4213107150.jpg,0,A woman wearing a Dear Santa t-shirt is looking at a Star Wars book with a young boy in a bright pink shirt .
4213107150.jpg,1,A dark-haired woman and a little boy in a red shirt looking at a Star Wars book together .
4213107150.jpg,2,A woman with black curly hair reads a book with a boy in a red shirt .
4213107150.jpg,3,A woman and a young boy read a book together in a living room .
4213107150.jpg,4,A woman reading to a child .
4168954238.jpg,0,A bunch of Caucasians are dining and their attention seems to be directed at something .
4168954238.jpg,1,A group of people sitting down to a meal in an old wooden building .
4168954238.jpg,2,A group of people are sitting at a table and drinking .
4168954238.jpg,3,A bunch of people sitting around tables with drinks .
4168954238.jpg,4,A large group of people are enjoying drinks .
7513059830.jpg,0,A man jumps from a large boulder with a clear blue sky behind him .
7513059830.jpg,1,Bald man in glasses in the middle of a jump on a rock landscape .
7513059830.jpg,2,A man in a black shirt is mid jump on a large rock formation .
7513059830.jpg,3,A short-haired man is jumping while on top of a huge boulder .
7513059830.jpg,4,man jumping excitedly on a mountain
687019615.jpg,0,A bearded man in a tan hat  assists a bald man in tennis shoes  near a campfire .
687019615.jpg,1,A man in a brown hat is helping a man with no hair up off the ground .
687019615.jpg,2,A man wearing a hat is picking up another man beside a campfire .
687019615.jpg,3,A man 's chair has collapsed at a campsite .
687019615.jpg,4,Two adult men in a crowded campsite .
584484388.jpg,0,Two little wiener dogs are running on the grass carrying a red ball between them .
584484388.jpg,1,Two brown dogs fight over a red ball while playing in the grass .
584484388.jpg,2,Two brown dogs run over the grass carrying a red toy .
584484388.jpg,3,Two brown dogs are playing with a red ball .
584484388.jpg,4,Two daschunds play with a red ball
6284697322.jpg,0,Three students with pencils in-hand writing in notebooks at their desks .
6284697322.jpg,1,A young girl in a blue shirt is writing with a pencil in a notebook .
6284697322.jpg,2,A female student concentrates on her schoolwork .
6284697322.jpg,3,Three children writing intently in a classroom .
6284697322.jpg,4,A woman is taking notes in her notebook .
2942514377.jpg,0,A man in a blue shirt speaking with a man in a maroon shirt  while a man in a black shirt and jeans videotapes the conversation .
2942514377.jpg,1,The offerings of one man to another being filmed by a cameraman .
2942514377.jpg,2,Cameraman films a chef giving a dish to another man .
2942514377.jpg,3,Someone being interviewed .
2942514377.jpg,4,a news interview with a man
3282925526.jpg,0,A man lying down with a maroon cloth over his eyes and someone standing over him wearing flip-flops .
3282925526.jpg,1,A man with a dark red shirt covering his face rests on the pavement near a person 's feet .
3282925526.jpg,2,A man napping on the ground with a shirt over his eyes with a person standing beside him .
3282925526.jpg,3,A man wearing a maroon shirt tied around his face is laying on the cement
3282925526.jpg,4,A man on the pavement shielding his eyes with his t-shirt .
2904129133.jpg,0,A little boy drinks water from a fountain while another little boy watches and makes a face .
2904129133.jpg,1,An older boy drinks from a water fountain while a younger boy watches .
2904129133.jpg,2,Two boys stand near a drinking fountain as one takes a drink .
2904129133.jpg,3,Two boys are getting drinks out of a water fountain .
2904129133.jpg,4,Two boys are at an outdoor water fountain .
1341077576.jpg,0,A man in a red shirt and blue pants is going into a building while a dog watches him .
1341077576.jpg,1,A man walking into a building while a dog looks at him .
1341077576.jpg,2,A man walks into a maroon building as a dog looks on .
1341077576.jpg,3,A man in a red shirt entering an establishment .
1341077576.jpg,4,A man walking into s foreign building .
4024855306.jpg,0,vegetables on a stand with people waking around in the background .
4024855306.jpg,1,Asian people are standing in front of a vegetable market .
4024855306.jpg,2,A woman shopping for vegetables at a market .
4024855306.jpg,3,A shop on the street selling vegetables .
4024855306.jpg,4,A peoples buy any vegetables
458004873.jpg,0,A person sitting on tan bench and man in green shirt standing on black and gray floor .
458004873.jpg,1,Top-down view of a man sitting on a bench inside with a standing man facing him .
458004873.jpg,2,A man is sitting on a bench facing another man who is standing .
458004873.jpg,3,A man sits on a bench while another man walks toward him .
458004873.jpg,4,This over the top photo shows two men taking a break .
3121219649.jpg,0,Three men stand in a forest among a dense cluster of large tree trunks .
3121219649.jpg,1,Three men in the middle of the woods are looking at a tree .
3121219649.jpg,2,Three men look at a tree in the woods .
3121219649.jpg,3,Three men are standing in a forest .
3121219649.jpg,4,three men examine a tree .
6917596231.jpg,0,Six men appear to be reacting to the ground punch of a man dressed in black as a beautiful blue pervades the ocean and sky that seem to merge with beach .
6917596231.jpg,1,Seven young men on the beach playing a game of balance and skill involving concentric circles drawn in the sand about three feet apart .
6917596231.jpg,2,A group of people are posing as though flung back by the shock wave of someone punching the ground .
6917596231.jpg,3,An all male crowd on a beach are throwing themselves backward as one kneels in the middle .
6917596231.jpg,4,A group of people on a beach are simulating an earth-shattering punch .
6888808971.jpg,0,A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence .
6888808971.jpg,1,A postal carrier with a big smile stands on the sidewalk with his cart of mail .
6888808971.jpg,2,A smiling post office worker proudly shows off his four wheeled mailbag carrier .
6888808971.jpg,3,A mailman poses with his cart in front of a residential building .
6888808971.jpg,4,A mailman wheeling his bag of mail .
2705101597.jpg,0,A boy in a red shirt with white stripes  jeans and a red hat is throwing a blue bowling ball down the lane at a bowling alley .
2705101597.jpg,1,A young man in a red striped shirt and blue jeans is bowling with a blue ball at a bowling alley .
2705101597.jpg,2,A boy in a red cap rolls his bowling ball down the alley .
2705101597.jpg,3,The blue ball rolls steadily towards the pins .
2705101597.jpg,4,A man in a red hat and shirt bowls .
5491397203.jpg,0,A middle-aged man wearing a baseball cap turned backwards  a black shirt  and blue shorts who is driving a boat which has a wooden steering wheel with the british flag flown in the background .
5491397203.jpg,1,A bearded man wearing blue striped shorts  a dark tee-shirt and backwards baseball cap stands at the wheel of a ship flying a tattered red flagon open water .
5491397203.jpg,2,A man in a backwards baseball cap  black shirt and blue shorts behind the steering wheel of a boat with a flag behind him .
5491397203.jpg,3,An older gentleman poses at the helm of a boat .
5491397203.jpg,4,A man is navigating a boat .
3504379205.jpg,0,Two women look at a table with assorted items on it in some sort of market that others are currently browsing .
3504379205.jpg,1,Two women looking at a food vendor  considering if they want to buy something .
3504379205.jpg,2,Tourists at a flea market bartering for souvenirs .
3504379205.jpg,3,People are shopping in an open air market .
3504379205.jpg,4,A group of people eat food inside a mall .
